term,language,definition,categories,target
deminigger,English,,Ethnicity,Arabs
deminiggers,English,,Ethnicity,Arabs
derka derka,English,Derogatory interpretation of the Arabic language; most often applied in contexts relating to the Middle East and North Africa or Muslims in general,Ethnicity,Arabs
derka derkas,English,,Ethnicity,Arabs
desviada,Portuguese,Homosexual Perverted,Sexual Orientation,Homosexual
desviadas,Portuguese,Homosexual Perverted,Sexual Orientation,Homosexual
desviado,Portuguese,Homosexual Perverted,Sexual Orientation,Homosexual
desviados,Portuguese,Homosexual Perverted,Sexual Orientation,Homosexual
đẹt,Vietnamese,Dwarfish,Disability,
dhila,Hindi,,Gender,Female
dhimmi,English,Used by opponents of Islamisation and Muslim immigration to denote those who in their eyes facilitate it with connotation of traitor. Used in several languages in that sense but originally an Islamic term referring to Jewish and Christian minorities.,Religion,Islam
dhimmis,English,Used by opponents of Islamisation and Muslim immigration to denote those who in their eyes facilitate it with connotation of traitor. Used in several languages in that sense but originally an Islamic term referring to Jewish and Christian minorities.,,
diaper head,English,An Arab Indian Sikh or other individual of Middle Eastern or South Asian descent wearing traditional headdress such as turbans or keffiyehs. Sometimes used generically for all Islamic nations.,Ethnicity,
diaper heads,English,An Arab Indian Sikh or other individual of Middle Eastern or South Asian descent wearing traditional headdress such as turbans or keffiyehs. Sometimes used generically for all Islamic nations.,Ethnicity,
dindu,English,A derogatory contraction of the words didnt do popularized as a slur against black people as a mockery of regional pronunciation,Ethnicity,African American
dindu nuffin,English,A derogatory contraction of the words didnt do nothing popularized as a slur against black people as a mockery of regional pronunciation,Ethnicity,African American
dinge,English,A black person. Used in the novel To Kill a Mockingbird.,Ethnicity,
dinges,English,A black person. Used in the novel To Kill a Mockingbird.,Ethnicity,
dingo fucker,English,An Australian,Nationality,Australia
dingo fuckers,English,An Australian,Nationality,Australia
dink,English,An Asian. A Vietnamese person. A North Vietnamese soldier or guerrilla in the Vietnam War.,Nationality,Vietnam
dinkladies,English,,Nationality,Vietnam
dinklady,English,,Nationality,Vietnam
dinks,English,An Asian. A Vietnamese person. A North Vietnamese soldier or guerrilla in the Vietnam War.,Nationality,Vietnam
dişi köpek,Turkish,A bitch,Gender,
disminuido,Spanish,Disabled Diminished,Disability,
disminuidos,Spanish,,Disability,
ditsoon,Italian,Italian term for a black person Burning charcoal or ember,Ethnicity,African
div,English,An idiot,Class,
divs,English,An idiot,Class,
divvies,English,An idiot,Class,
divvy,English,An idiot,Class,
djellaba,Dinka,In South Sudan can refer to a northerner particularly an Arab who enslaves southeners An Arab,Ethnicity,Arabs
doenjang girl,Korean,,Gender,Female
doenjang girls,Korean,,Gender,Female
doenjang nyeo,Korean,,Gender,Female
doenjang woman,Korean,,Gender,Female
doenjang women,Korean,,Gender,Female
dog eater,English,Conveys the idea that Asians consume dogs as part of their cuisine.,Ethnicity,Asian
dog eaters,English,,Ethnicity,Asian
dogan,English,In Canada an Irish Catholic 19th century on; origin uncertain: perhaps from Dugan an Irish surname.,Nationality,Christianity
dogans,English,In Canada an Irish Catholic 19th century on; origin uncertain: perhaps from Dugan an Irish surname.,Nationality,Christianity
dogun,English,In Canada an Irish Catholic 19th century on; origin uncertain: perhaps from Dugan an Irish surname.,Nationality,Christianity
doguns,English,In Canada an Irish Catholic 19th century on; origin uncertain: perhaps from Dugan an Irish surname.,Nationality,Christianity
dole bludger,English,A shiftless or unemployed person. A pimp.,Class,
dole bludgers,English,A shiftless or unemployed person. A pimp.,Class,
domes,English,Hispanic word for a person from the Dominican Republic possibly from the Washington Heights area of New York City. Spherical structures particularly used in astronomical observatories,Nationality,Dominican Republic
doos,Dutch,Woman implies stupid woman. Box.,Gender,Female
dorfmatratze,German,A promiscuous person usually applied to women,Gender,Female
dorfmatratzen,German,A promiscuous person usually applied to women,Gender,Female
doryphore,French,Doryphore means Colorado potato beetle in French. This term was used during World War II but is less common than Boche Fritz or Frisés. It refers to the fact that the Germans during the Occupation took large part of the production of Frances agriculture and industry.,Nationality,Germany
doss,Hebrew,A religious jewish man. An ultra-orthodox jewish man who live separately from the rest of the israeli society.,Religion,Judaism
dot head,English,A person of Indian descent from the caste-mark (dot) on an Indians forehead.,Nationality,India
dot heads,English,A person of Indian descent from the caste-mark (dot) on an Indians forehead.,Nationality,India
dres,English,,Class,
dresiarz,English,,Class,
drɛɕaʂ,Polish,,Class,
drɛɕaʐɛ,Polish,,Class,
drɛs,Polish,An unsophisticated person,Class,
drɛsɨ,Polish,,Class,
dune coon,English,A person of Arab descent.,Ethnicity,
dune coons,English,A person of Arab descent.,Ethnicity,
dune nigger,English,A person of Arab descent.,Ethnicity,
dune niggers,English,A person of Arab descent.,Ethnicity,
dupodajce,Polish,Slut,Gender,Female
dupodajek,Polish,Slut,Gender,Female
dupodajka,Polish,Slut,Gender,Female
dupodajkami,Polish,Slut,Gender,Female
dupodajkę,Polish,Slut,Gender,Female
dupodajki,Polish,Slut,Gender,Female
dupodajko,Polish,Slut,Gender,Female
dupodajkom,Polish,Slut,Gender,Female
durka durka,English,,Ethnicity,Arabs
durka durkas,English,,Ethnicity,Arabs
dyke,English,A lesbian.,Gender,Female
dyke jumper,English,A person of Dutch origin.,Nationality,Netherlands
dyke jumpers,English,A person of Dutch origin.,Nationality,Netherlands
dykes,English,A lesbian.,Gender,Female
dziwce,Polish,Slut,Gender,Female
dziwek,Polish,Slut,Gender,Female
dziwka,Polish,Slut,Gender,Female
dziwkami,Polish,Slut,Gender,Female
dziwkę,Polish,Slut,Gender,Female
dziwki,Polish,Slut,Gender,Female
dziwko,Polish,Slut,Gender,Female
dziwkom,Polish,Slut,Gender,Female
efterbliven,Swedish,Retarded,Disability,
efterblivet,Swedish,Retarded,Disability,
efterblivna,Swedish,Retarded,Disability,
efterblivne,Swedish,Retarded,Disability,
egg,English,Denotes white males who identify with East Asian culture and are thus white on the outside and yellow on the inside. Organic material resulting from reproduction,Ethnicity,
eggplant,English,A black person. A fruit,Ethnicity,
eggs,English,Denotes white males who identify with East Asian culture and are thus white on the outside and yellow on the inside. Organic material resulting from reproduction,Ethnicity,
eh hole,English,A Canadian. Variation on the ubiquitous eh and the word asshole.,Nationality,Canada
eh holes,English,A Canadian. Variation on the ubiquitous eh and the word asshole.,Nationality,Canada
eight ball,English,A black person. A billiards ball,Ethnicity,
eight balls,English,A black person. A billiards ball,Ethnicity,
el abeed,Arabic,Arabic slur for a black person from slave,Ethnicity,
emoit,Turkana,Turkana slur for members of the Pokot ethnic community from cattle thief.,Ethnicity,Turkana
escorregar no quiabo,Portuguese,Homosexual One who receives anal sex,Sexual Orientation,Homosexual
escuaca,Spanish,Derogatory for Hugo Chávez opponents,,
eshay,English,In Australia an unsophisticated or working class person with a predilection for ostentatious sportswear and jewellery,Nationality,Australia
eshays,English,In Australia an unsophisticated or working class person with a predilection for ostentatious sportswear and jewellery,Nationality,Australia
eurotrash,English,A European.,Ethnicity,
ewu,Igbo,Goat. Used in southern Nigeria to refer to those in the north.,Ethnicity,
eyetie,English,An Italian person. Originated through the mispronunciation of Italian as Eye-talian.,Nationality,Italy
eyeties,English,An Italian person. Originated through the mispronunciation of Italian as Eye-talian.,Nationality,Italy
fag,English,A homosexual. A cigarette,Sexual Orientation,Homosexual
fagbag,English,A homosexual male,Sexual Orientation,Homosexual
fagbags,English,A homosexual male,Sexual Orientation,Homosexual
fagdick,English,,Sexual Orientation,Homosexual
fagdicks,English,,Sexual Orientation,Homosexual
faget,Danish,Homosexual,Sexual Orientation,Homosexual
faggot,English,A homosexual.,Sexual Orientation,Homosexual
faggots,English,A homosexual.,Sexual Orientation,Homosexual
faggy,English,One expressing homosexually tendencies,Sexual Orientation,Homosexual
fags,English,A homosexual. A cigarette,Sexual Orientation,Homosexual
fagshit,English,,Sexual Orientation,Homosexual
fagshits,English,,Sexual Orientation,Homosexual
fahişe,Turkish,To mean a bitch or whore,Gender,
fairies,English,A Homosexual A mythical creature,Sexual Orientation,Homosexual
Fairy,English,A Homosexual A mythical creature,Sexual Orientation,Homosexual
falang,Thai,A non-Thai person.,Nationality,
Fan Kuei,Chinese,A Caucasian. Chinese for ocean ghosts denoting skin color.,Ethnicity,Chinese
fanook,Italian,Italian term for one who is homosexual or seems homosexual.,Sexual Orientation,Homosexual
farang,Thai,A non-Thai person.,Nationality,
faranji,Amharic,Literally means foreigner but predominantly used in Ethiopia to refer to white people. Very common since white people are still a curiosity in most parts of the country and usually not intended to be offensive but sometimes used in a pejorative manner. Similar to the usage of mzungu in Swahili.,Ethnicity,
fashisty,Russian,A person of German descent.,Nationality,Germany
featherhead,English,Referring to North American Aboriginals in particular owing to the use of feather head dresses.,Ethnicity,Aboriginal
featherheads,English,,Ethnicity,Aboriginal
femakko,Finnish,Combination of feministi and emakko. Feminist sow feminist pig.,Gender,Female
femakot,Finnish,Combination of feministi and emakko. Feminist sow feminist pig.,Gender,Female
feminatsi,Finnish,Feminazi,Gender,Female
feminatsit,Finnish,Feminazi,Gender,Female
feminazi,English,Concatenation of feminist and Nazi,Gender,Female
feminazis,English,Concatenation of feminist and Nazi,Gender,Female
feminaziści,Polish,Feminazi,Gender,Female
feminaziście,Polish,Feminazi,Gender,Female
feminazista,Polish,Feminazi,Gender,Female
feminazistach,Polish,Feminazi,Gender,Female
feminazistami,Polish,Feminazi,Gender,Female
feminazistę,Polish,Feminazi,Gender,Female
feminazistka,Polish,Feminazi,Gender,Female
feminazisto,Polish,Feminazi,Gender,Female
feminazistom,Polish,Feminazi,Gender,Female
feminazistów,Polish,Feminazi,Gender,Female
feminazisty,Polish,Feminazi,Gender,Female
Fenian,English,In Northern Ireland denotes a Catholic or Irish nationalist A member of one or more fraternal organisations committed to an independent Ireland in the 19th and early 20th centuries,Nationality,Ireland
Fenians,English,,Nationality,Ireland
fenucca,Italian,Italian term for one who is homosexual or seems homosexual.,Sexual Orientation,Homosexual
feuj,French,A derogatory term for a Jewish person,Ethnicity,Jews
feuje,French,A derogatory term for a Jewish person,Ethnicity,Jews
feujes,French,A derogatory term for a Jewish person,Ethnicity,Jews
feujs,French,A derogatory term for a Jewish person,Ethnicity,Jews
fez,English,An Arab A Turkish hat,Ethnicity,
fezzes,English,An Arab A Turkish hat,Ethnicity,
FGM,English,Often used as a comment/slang on muslim (particularly women) referencing muslims as barbarians that perform Female Genital Mutilation.,Religion,Islam
fica,Italian,A sexually attractive woman Pussy Fig,Gender,Female
fiche,Italian,A sexually attractive woman Pussy Fig,Gender,Female
fif,French,an effeminiate male homosexual,Gender,Homosexual
fifs,French,an effeminiate male homosexual,Gender,Homosexual
figa,Italian,A sexually attractive woman Pussy Fig,Gender,Female
fighe,Italian,A sexually attractive woman Pussy Fig,Gender,Female
filhos da terra,Portuguese,In São Tomé and Príncipe refers to descendants of Portuguese colonists and African slaves. Translates as children of the land.,Ethnicity,Portuguese
filthypino,English,A portmanteau of the word filthy and Filipino,Nationality,Philippines
filthypinoes,English,,Nationality,Philippines
filthypinos,English,,Nationality,Philippines
Fin,Dutch,Moroccan. Cynical usage implying that the real name may not be used e.g in crime reports.,Ethnicity,
finocchi,Italian,,Sexual Orientation,Homosexual
finocchio,Italian,A homosexual.,Sexual Orientation,Homosexual
finook,Italian,Italian term for one who is homosexual or seems homosexual.,Sexual Orientation,Homosexual
firangi,Arabic,A European 2017 Indian comedy film,Ethnicity,European
fish wagon,English,A derogatory term for a person who suffers from a sexually transmitted disease.,Disability,
fjolla,Swedish,A male homosexual An effeminate man,Sexual Orientation,Homosexual
fjollan,Swedish,A male homosexual An effeminate man,Sexual Orientation,Homosexual
fjollans,Swedish,A male homosexual An effeminate man,Sexual Orientation,Homosexual
fjollas,Swedish,A male homosexual An effeminate man,Sexual Orientation,Homosexual
fjollor,Swedish,A male homosexual An effeminate man,Sexual Orientation,Homosexual
fjollorna,Swedish,A male homosexual An effeminate man,Sexual Orientation,Homosexual
fjollornas,Swedish,A male homosexual An effeminate man,Sexual Orientation,Homosexual
fjollors,Swedish,A male homosexual An effeminate man,Sexual Orientation,Homosexual
flaite,Spanish,Poor urban youth,Class,
flip,English,A person from the Philippines To turn upside down,Nationality,Philippines
flipabeano,English,A person of Filipino and Mexican descent,Nationality,Mexico
flipabeanos,English,A person of Filipino and Mexican descent,Nationality,Mexico
flipette,English,,Nationality,Philippines
flipettes,English,,Nationality,Philippines
flips,English,A person from the Philippines To turn upside down,Nationality,Philippines
flittchen,German,A promiscuous person usually applied to women,Gender,Female
floppies,English,,Ethnicity,African
floppy,English,An African. Etymology is variously attributed to Zimbabwe or South Africa and may have originated from floppy hats worn by laborers or the action of flopping down dead when shot.,Ethnicity,African
FOB,English,A person of foreign nationality. A chain particularly when used with a timepiece,Nationality,
FOBs,English,A person of foreign nationality. A chain particularly when used with a timepiece,Nationality,
fog nigger,English,A black person of British nationality.,Nationality,United Kingdom
fog niggers,English,A black person of British nationality.,Nationality,United Kingdom
Fotze,German,A woman A vagina,Gender,Female
Fotzen,German,,Gender,Female
four by two,English,A Jewish person. Four-by-two is Cockney rhyming slang for Jew.,Ethnicity,Judaism
four by twos,English,A Jewish person. Four-by-two is Cockney rhyming slang for Jew.,Ethnicity,Judaism
Freḥa,English,,Class,
fresh off the boat,English,A person of foreign nationality.,Nationality,
frijolera,Spanish,Equivalent of beaner An agricultural bean farmer,Ethnicity,Hispanic
frijoleras,Spanish,Equivalent of beaner An agricultural bean farmer,Ethnicity,Hispanic
frijolero,Spanish,Equivalent of beaner An agricultural bean farmer,Ethnicity,Hispanic
frijoleros,Spanish,Equivalent of beaner An agricultural bean farmer,Ethnicity,Hispanic
frits,Bulgarian,A person of German descent.,Nationality,Germany
fritsove,Bulgarian,A person of German descent.,Nationality,Germany
Fritz,German,A person of German descent.,Nationality,Germany
froci,Italian,,Sexual Orientation,Homosexual
frocio,Italian,A homosexual.,Sexual Orientation,Homosexual
frog,English,A French person. Prior to 19th century referred to the Dutch (as they were stereotyped as being marsh-dwellers). When France became Britains main enemy replacing the Dutch the epithet transferred to them due to the French recipe for eating frogs legs (see comparable French term Rosbif). Also used in Canada to refer to both the French and French Canadians and occasionally incorrectly as more broadly to people from Quebec who are not in fact necessarily French or French speaking. An amphibian,Ethnicity,Dutch
frogs,English,A French person. Prior to 19th century referred to the Dutch (as they were stereotyped as being marsh-dwellers). When France became Britains main enemy replacing the Dutch the epithet transferred to them due to the French recipe for eating frogs legs (see comparable French term Rosbif). Also used in Canada to refer to both the French and French Canadians and occasionally incorrectly as more broadly to people from Quebec who are not in fact necessarily French or French speaking. An amphibian,Ethnicity,Dutch
Froschschenkelfresser,German,someone animalistically eating frog legs a person from France,Nationality,France
fruit,English,A homosexual. A plant,Sexual Orientation,Homosexual
fruities,English,,Sexual Orientation,Homosexual
fruits,English,A homosexual. A plant,Sexual Orientation,Homosexual
fruity,English,,Sexual Orientation,Homosexual
fryc,Polish,The name fryc plural fryce (after Fritz short for Friedrich/Frederick) widely considered as typically German is sometimes used as a noun for Germans.,Nationality,Germany
fryce,Polish,The name fryc plural fryce (after Fritz short for Friedrich/Frederick) widely considered as typically German is sometimes used as a noun for Germans.,Nationality,Germany
fud,Scots,A woman 1 Vagina 2 Idiot 3 The tail of a hare or rabbit 4 Buttocks,Gender,Female
fudgepacker,English,A homosexual who engages in anal sex,Gender,Homosexual
fudgepackers,English,A homosexual who engages in anal sex,Gender,Homosexual
fufa,Portuguese,Lesbian,Gender,Female
fufas,Portuguese,Lesbian,Gender,Female
fundas,Romanian,One who plays defense in sports; a homosexual,Sexual Orientation,Homosexual
fundasi,Romanian,One who plays defense in sports; a homosexual,Sexual Orientation,Homosexual
furcia,Spanish,A prostitute,Gender,Female
furcias,Spanish,A prostitute,Gender,Female
fuzzies,English,A black person. Soft fluffy or frayed,Ethnicity,
fuzzy,English,A black person. Soft fluffy or frayed,Ethnicity,
fuzzy wuzzies,English,Colonialist term used to refer to the Hadendoa warriors in the 19th Century.,Ethnicity,
fuzzy wuzzy,English,Colonialist term used to refer to the Hadendoa warriors in the 19th Century.,Ethnicity,
gabacho,Spanish,Chicano pejorative term for an English-speaking non-Hispanic. Spanish term for a foreigner particularly a person of French ancestry.,Nationality,France
gable,English,A black person. A wall which encloses the end of a pitched roof,Ethnicity,
gables,English,A black person. A wall which encloses the end of a pitched roof,Ethnicity,
gadis nakal,Indonesian,Slut,Gender,Female
gaijin,Japanese,A non-Japanese person. Shortened form of Gaikokujin (person from another country).,Nationality,
gaiko,Japanese,A non-Japanese person. Shortened form of Gaikokujin (person from another country).,Nationality,
galdéria,Portuguese,A promiscuous woman similar to the slur slut,Gender,Female
Galla,Amharic,derogatory term for the Oromo ethnic group,Ethnicity,Oromo
Gambari,Hausa,A person from northern Nigeria derived from the Kyamberi tribe,Nationality,Nigeria
Ganaah,Hausa,A person from Ghana,Nationality,Ghana
Ganayā,Sinhala,,Religion,Buddhism
gandee,Hindi,,Gender,Female
gandī,Hindi,,Gender,Female
gaṇikā,Hindi,,Gender,Female
ganikawa,Sinhala,Whore,Gender,Female
gaozar,Romanian,A homexual.,Sexual Orientation,Homosexual
gaozari,Romanian,A homexual.,Sexual Orientation,Homosexual
gas huffer,English,Alluding to substance abuse issues in the Aboriginal community.,Ethnicity,Aboriginal
gas huffers,English,,Ethnicity,Aboriginal
gash,English,Derogatory term referring to a womans genitals,Gender,Female
gasher,English,,Gender,Female
gashes,English,Derogatory term referring to a womans genitals,Gender,Female
gator bait,English,A black person especially a black child. More commonly used in states where alligators are found particularly Florida. First used in the early 20th century although some hypothesize the term originated in the late 19th century.,Ethnicity,
Gaurkh,Nepali,Derogatory term for Nepali servants.,Nationality,Nepal
gavur,Turkish,A non-Muslim especially a Christian.,Religion,
gay,English,Someone who acts like a homosexual Something stupid. A homosexual,Sexual Orientation,Homosexual
gay mafia,English,An alleged conspiracy of homosexuals to promote a gay agenda,Sexual Orientation,Homosexual
gaylord,English,A homosexual person,Sexual Orientation,Homosexual
gaylords,English,A homosexual person,Sexual Orientation,Homosexual
geitenneuker,Dutch,Muslim literally goat-fucker.,Religion,Islam
geitenneukers,Dutch,Muslim literally goat-fucker.,Ethnicity,Arabs
geitenneukertje,Dutch,Muslim literally goat-fucker.,Ethnicity,Arabs
gelaffi,French,,Nationality,Cameroon
gelafi,French,,Nationality,Cameroon
gelandangan,Indonesian,A homeless person Someone who appears homeless,Class,
gender nigger,English,A transgender person,Gender,Transgender
geri,Sinhala,Muslim Bull; beef,Religion,Islam
Gerudo,English,A Muslim female. Probably formed from the name of the Gerudo people a fantasy race created in the Legend of Zelda series.,Religion,Islam
Gerudos,English,A Muslim female. Probably formed from the name of the Gerudo people a fantasy race created in the Legend of Zelda series.,Religion,Islam
Geschwuchtel,German,To carry on homosexual or effiminate behaviour,Gender,Male
gew,English,A German Jew.,Nationality,Germany
gews,English,A German Jew.,Nationality,Germany
gey,English,,Sexual Orientation,Homosexual
ghetto,English,Used to describe urban blacks. A predominantly poor community,Ethnicity,
ghetto hamster,English,A black child.,Ethnicity,
ghetto hamsters,English,A black child.,Ethnicity,
ghetto monkey,English,,Ethnicity,African American
ghetto monkeys,English,,Ethnicity,African American
ghey,English,An intentional misspelling of gay meant to avoid censorship and mock homosexual behaviour,Sexual Orientation,Homosexual
gheys,English,,Sexual Orientation,Homosexual
ghost,English,A Caucasian A spirit,Ethnicity,
ghosts,English,A Caucasian A spirit,Ethnicity,
giaour,Portuguese,A non-Muslim especially a Christian.,Religion,Atheism
giaours,Portuguese,,Religion,Atheism
gimp,English,A disabled person,Disability,
gimps,English,A disabled person,Disability,
gimpy,English,Having the tendendies of a disabled person,Disability,
gin,English,In Australia an Aboriginal woman. An alcoholic beverage,Ethnicity,
gin jockey,English,In Australia a white person having casual sex with an Aboriginal woman. Pejorative.,Ethnicity,
gin jockeys,English,In Australia a white person having casual sex with an Aboriginal woman. Pejorative.,Ethnicity,
ginger,English,Person with red hair A color,Ethnicity,
gingers,English,Person with red hair A color,Ethnicity,
gingette,English,,Ethnicity,
gingettes,English,,Ethnicity,
gingie,English,,Ethnicity,
gingies,English,,Ethnicity,
gingy,English,,Ethnicity,
gink,English,Combination of gook and chink,Ethnicity,Asian
ginks,English,,Ethnicity,Asian
gins,English,In Australia an Aboriginal woman. An alcoholic beverage,Ethnicity,
ginzo,English,A person of Italian birth or descent. Most likely derived from Guinea Negro implying that Italians are dark or swarthy-skinned like the natives of Guinea. The diminutive Ginzo probably dates back to World War II and is derived from Australian slang picked up by US servicemen in the Pacific Theater.,Nationality,Italy
ginzos,English,A person of Italian birth or descent. Most likely derived from Guinea Negro implying that Italians are dark or swarthy-skinned like the natives of Guinea. The diminutive Ginzo probably dates back to World War II and is derived from Australian slang picked up by US servicemen in the Pacific Theater.,Nationality,Italy
gipp,English,A Romani people. Egyptians. These are variations of Gypsy the most common word in English for people of Romani origin. Gypsy is not in itself an ethnic slur but its usage is sometimes controversial.,Ethnicity,Egyptian
gippo,English,A Romani people. Egyptians. These are variations of Gypsy the most common word in English for people of Romani origin. Gypsy is not in itself an ethnic slur but its usage is sometimes controversial.,Ethnicity,Egyptian
gippos,English,A Romani people. Egyptians. These are variations of Gypsy the most common word in English for people of Romani origin. Gypsy is not in itself an ethnic slur but its usage is sometimes controversial.,Ethnicity,Egyptian
gipps,English,A Romani people. Egyptians. These are variations of Gypsy the most common word in English for people of Romani origin. Gypsy is not in itself an ethnic slur but its usage is sometimes controversial.,Ethnicity,Egyptian
Girl,English,A disrespectful belittling term used to refer to an adult woman. A term used to refer to a female child.,Gender,Female
gitanada,Spanish,The act of being or a group of gypsies,Ethnicity,Romani
gitanadas,Spanish,The act of being or a group of gypsies,Ethnicity,Romani
globalist,English,Coded language often used as a negative euphemism for Jew An internationally-minded person,Nationality,Judaism
globalists,English,Coded language often used as a negative euphemism for Jew An internationally-minded person,Nationality,Judaism
gnocca,Italian,An attractive woman Pussy,Gender,Female
gnocche,Italian,An attractive woman Pussy,Gender,Female
goatfucker,English,A term used against muslims especially portraying them as sexually deviant especially on 4chans /pol/,Religion,Islam
goi,English,A Hebrew biblical term for Nation or People. By Roman times it had also acquired the meaning of non-Jew. In English usage may be controversial it can be assigned pejoratively to non-Jews.,Religion,
gokiburi,Japanese,A Korean A cockroach,Nationality,Korea (Democratic Peoples Republic Of)
golan,Romanian,An unemployed or lower class person,Class,
golani,Romanian,An unemployed or lower class person,Class,
golliwog,English,A person with dark skin most commonly an Afro-Caribbean Originally a childrens literary character and type of black doll,Ethnicity,African American
golliwogs,English,Originally a childrens literary character and type of black doll but eventually came to be used as a slur against people with dark skin most commonly Afro-Caribbeans.,Ethnicity,
goloid,English,Abbreviation of mongoloid,Ethnicity,Mongol
goloids,English,,Ethnicity,Mongol
goober,English,A rural person or resident of a small town.,,
goobers,English,A rural person or resident of a small town.,,
good goy,English,A non-Jewish person who disbelieves in a global Jewish conspiracy,Ethnicity,Jews
good goys,English,,Ethnicity,Jews
gook,English,An Asian especially an enemy soldier of Asian descent. Its use as an ethnic slur has been traced to US Marines serving in the Philippines in the early 20th century. The earliest recorded example is dated 1920. It gained widespread notice as a result of the Korean and Vietnam wars.,Ethnicity,Korean
gook eye,English,An Asian especially an enemy soldier of Asian descent. Its use as an ethnic slur has been traced to US Marines serving in the Philippines in the early 20th century. The earliest recorded example is dated 1920. It gained widespread notice as a result of the Korean and Vietnam wars.,Ethnicity,Korean
gook eyed,English,,Ethnicity,Asian
gook eyes,English,An Asian especially an enemy soldier of Asian descent. Its use as an ethnic slur has been traced to US Marines serving in the Philippines in the early 20th century. The earliest recorded example is dated 1920. It gained widespread notice as a result of the Korean and Vietnam wars.,Ethnicity,Korean
gookette,English,,Ethnicity,Asian
gookettes,English,,Ethnicity,Asian
gookie,English,,Nationality,Vietnam
gookies,English,,Ethnicity,Asian
gooklet,English,,Ethnicity,Asian
gooklets,English,,Ethnicity,Asian
gooks,English,An Asian especially an enemy soldier of Asian descent. Its use as an ethnic slur has been traced to US Marines serving in the Philippines in the early 20th century. The earliest recorded example is dated 1920. It gained widespread notice as a result of the Korean and Vietnam wars.,Ethnicity,Korean
gooky,English,An Asian especially an enemy soldier of Asian descent. Its use as an ethnic slur has been traced to US Marines serving in the Philippines in the early 20th century. The earliest recorded example is dated 1920. It gained widespread notice as a result of the Korean and Vietnam wars.,Ethnicity,Korean
gooky eyes,English,,Ethnicity,Asian
goomba,Italian,Considered a slur when used by non-Italians to describe an Italian.,Nationality,Italy
goombah,Italian,Considered a slur when used by non-Italians to describe an Italian.,Nationality,Italy
gopnik,English,,Class,
gopniks,English,,Class,
gora,Urdu,A Caucasian,Ethnicity,
gottlos,German,A godless atheist,Religion,Atheism
götveren,Turkish,A homosexual (one who gives ass),Sexual Orientation,Homosexual
götvereni,Turkish,,Sexual Orientation,Homosexual
götverenler,Turkish,,Sexual Orientation,Homosexual
goy,Hebrew,A Hebrew biblical term for Nation or People. By Roman times it had also acquired the meaning of non-Jew. In English usage may be controversial it can be assigned pejoratively to non-Jews.,Ethnicity,Christianity
goyim,Hebrew,A Hebrew biblical term for Nation or People. By Roman times it had also acquired the meaning of non-Jew. In English usage may be controversial it can be assigned pejoratively to non-Jews.,Ethnicity,Christianity
goyum,Hebrew,A Hebrew biblical term for Nation or People. By Roman times it had also acquired the meaning of non-Jew. In English usage may be controversial it can be assigned pejoratively to non-Jews.,Ethnicity,Christianity
graffi,French,This term is a Pidgin word derived from the phonetic pronunciation of the Englishrwords ‘grass field.’ This term is commonly used to refer to people from the Northwest Regionrof Cameroon where there are grass fields,Nationality,Cameroon
graffy,French,,Nationality,Cameroon
gratenkut,Dutch,Slut,Gender,Female
gratenkutje,Dutch,Slut,Gender,Female
gratenkutten,Dutch,Slut,Gender,Female
greaseball,English,A person of Italian descent. It can also refer to any person of Mediterranean / Southern European descent or Hispanic descent.,Nationality,Italy
greaseballs,English,A person of Italian descent. It can also refer to any person of Mediterranean / Southern European descent or Hispanic descent.,Nationality,Italy
greaser,English,A person of Italian descent. It can also refer to any person of Mediterranean / Southern European descent or Hispanic descent.,Nationality,Italy
greasers,English,A person of Italian descent. It can also refer to any person of Mediterranean / Southern European descent or Hispanic descent.,Nationality,Italy
gringa,Spanish,A foreigner; especially used disparagingly against North Americans and North Europeans in Latin America. (Likely from the Spanish word griego meaning Greek. The use of the term Greek for something foreign or unintelligible is also seen in the similar expression its Greek to me.) The term lends itself to derogatory or paternalistic connotations but in most of the contexts it may not be meant pejoratively.,Ethnicity,
gringo,Spanish,A foreigner; especially used disparagingly against North Americans and North Europeans in Latin America. (Likely from the Spanish word griego meaning Greek. The use of the term Greek for something foreign or unintelligible is also seen in the similar expression its Greek to me.) The term lends itself to derogatory or paternalistic connotations but in most of the contexts it may not be meant pejoratively.,Ethnicity,
grjón,Icelandic,an East Asian person rice or a grain of rice,Ethnicity,Asian
groid,English,A black person. Derived from negroid.,Ethnicity,
groids,English,A black person. Derived from negroid.,Ethnicity,
guajiro,Spanish,A peasant or rural person particularly from Cuba.,Nationality,Cuba
guala,English,A person whos overt about his/her Hispanic descent particularly a Dominican,Nationality,Dominican Republic
guala guala,English,A person whos overt about his/her Hispanic descent particularly a Dominican,Nationality,Dominican Republic
guala gualas,English,A person whos overt about his/her Hispanic descent particularly a Dominican,Nationality,Dominican Republic
gualas,English,A person whos overt about his/her Hispanic descent particularly a Dominican,Nationality,Dominican Republic
gub,English,In Australia Aboriginal pejorative term for white people.,Ethnicity,
gubba,English,In Australia Aboriginal pejorative term for white people.,Ethnicity,
gubbas,English,In Australia Aboriginal pejorative term for white people.,Ethnicity,
gubs,English,In Australia Aboriginal pejorative term for white people.,Ethnicity,
guera,Spanish,A word used in Mexico to denote a person of fair complexion or with blond or red hair,,
guero,Spanish,A word used in Mexico to denote a person of fair complexion or with blond or red hair,,
